"feedname","timestamp","id","info"
"CIRCL","16/02/2017 21:40:33","1","OSINT - menuPass Returns with New Malware and New Attacks Against Japanese Academics and Organizations"
"wilbursecurity.com","28/02/2020 18:47:18","2","Interesting Recon Script"
"CIRCL","01/06/2016 07:58:52","3","A Universal Windows Bootkit An analysis of the MBR bootkit referred to as “HDRoot”"
"CIRCL","28/04/2017 19:23:44","4","OSINT - Carbon Paper: Peering into Turla’s second stage backdoor"
"CIRCL","28/08/2017 15:24:36","5","OSINT - New Arena Crysis Ransomware Variant Released"
"CIRCL","08/03/2016 01:28:45","6","OSINT - The Connections Between MiniDuke, CosmicDuke and OnionDuke"
"CIRCL","16/06/2017 13:37:38","7","M2M -  Jaff 2017-06-14 : ""Emailing: 123456789"" - ""123456789.ZIP"""
"CIRCL","03/03/2019 17:43:54","8","OSINT - The Supreme Backdoor Factory"
"CthulhuSPRL.be","15/12/2015 08:26:37","9","OSINT The Casino Malvertising Campaign by MalwareBytes"
"CIRCL","28/10/2018 09:56:15","10","OSINT - CoalaBot: http Ddos Bot"
"CIRCL","16/02/2019 22:21:59","11","VMRay Analyzer Report for Sample #252574 (related amf-fr.org)"
"CthulhuSPRL.be","24/11/2014 10:41:51","12","OSINT Evil Bunny: Suspect #4"
"CthulhuSPRL.be","02/07/2016 19:19:32","13","OSINT H-Worm IOCs from WooYun"
"CIRCL","06/09/2018 13:52:32","14","OSINT - New Bip Dharma Ransomware Variant Released"
"CIRCL","23/08/2019 10:59:37","15","OSINT - Trojan downloader found on Google Play by @Maler360"
"CIRCL","16/04/2018 08:52:30","16","Vurten Ransomware"
"CIRCL","15/09/2016 08:42:11","17","Malspam 2016-09-15 (.wsf in .zip) - campaign: ""Documents Requested"""
"CIRCL","01/09/2016 08:09:59","18","Malspam 2016-09-01 (.js in .zip) - campaign: ""flight tickets"""
"NCSC-NL","07/10/2016 15:42:57","19","Dridex IoC's"
"CIRCL","11/01/2017 22:54:25","20","OSINT - Second Wave of Shamoon 2 Attacks Identified"
"CIRCL","12/04/2016 07:59:41","21","Rokku Ransomware shows possible link with Chimera"
"CIRCL","17/09/2018 21:23:22","22","OSINT -  Familiar Feeling A Malware Campaign Targeting the Tibetan Diaspora Resurfaces"
"CIRCL","24/06/2018 07:21:51","23","OSINT - Tick Group Weaponized Secure USB Drives to Target Air-Gapped Critical Systems"
"CIRCL","27/12/2019 12:07:05","24","OSINT - The #BronzeUnion/#LuckyMouse/#APT27 infection checker"
"CIRCL","03/05/2018 18:37:19","25","OSINT - New Orangeworm attack group targets the healthcare sector in the U.S., Europe, and Asia"
"CthulhuSPRL.be","18/08/2016 13:32:42","26","OSINT Shakti Trojan: Document Thief  by Malwarebytes"
"Synovus Financial","05/05/2020 17:06:21","27","powerpool-malware-exploits-zero-day-vulnerability"
"CIRCL","23/05/2016 07:21:47","28","Locky of the day (20160520)"
"CIRCL","04/07/2017 14:43:07","29","M2M -  Locky 2017-06-26 : Affid=3 : ""12_Invoice_3456"" - ""001_4321.zip"""
"CIRCL","24/04/2017 10:04:19","30","OSINT - Lifting the lid on Sednit: A closer look at the software it uses"
"CIRCL","10/04/2018 21:13:54","31","OSINT - PUBG Ransomware Decrypts Your Files If You Play PlayerUnknown's Battlegrounds"
"CIRCL","09/05/2017 19:26:18","32","OSINT - EPS Processing Zero-Days Exploited by Multiple Threat Actors"
"CthulhuSPRL.be","05/11/2015 16:28:17","33","OSINT Gaza cybergang, where’s your IR team? by Kaspersky"
"CIRCL","09/09/2019 15:27:32","34","SectorJ04 Group’s Increased Activity in 2019"
"CIRCL","25/08/2016 09:24:32","35","Malspam 2016-08-25 (.js in .zip) - campaign: ""Contract"""
"CIRCL","25/03/2016 11:13:08","36","OSINT - PETYA Crypto-ransomware Overwrites MBR to Lock Users Out of Their Computers"
"CthulhuSPRL.be","16/09/2015 13:19:34","37","OSINT The Shade Encryptor: a Double Threat by Kaspersky"
"CIRCL","30/01/2019 21:03:39","38","OSINT - Cisco Job Posting Targets Korean Candidates"
"CIRCL","02/02/2018 04:00:35","39","OSINT - Smominru Monero mining botnet making millions for operators"
"CIRCL","18/05/2017 12:30:40","40","Invoice ###### 05/17/2017 from dontreply@random"
"CIRCL","17/07/2019 06:29:33","41","OSINT - Turla renews its arsenal with Topinambour"
"VK-Intel","05/05/2020 16:53:10","42","2019-01-22: Emotet->TrickBot"
"CIRCL","02/03/2017 09:45:22","43","OSINT - Google Play Apps Infected with Malicious IFrames"
"CIRCL","25/05/2016 19:57:30","44","MalSpam - Locky - 2016-05-25 (.js in .zip)"
"CIRCL","06/02/2017 18:51:30","45","OSINT - ikittens: iranian actor resurfaces with malware for mac (macdownloader)"
"CIRCL","14/09/2018 13:20:10","46","OSINT - old njRAT activity"
"CIRCL","15/11/2016 08:02:13","47","OSINT - Microsoft Word Intruder 8 Adds Support for Flash Vulnerability CVE-2016-4117"
"CIRCL","06/09/2016 13:27:03","48","Malspam 2016-09-06 (.wsf in .zip) - campaign: ""Invoice INV[x]"""
"CIRCL","26/04/2016 12:23:49","49","Malspam (2016-04-26) - Dridex botnet 122"
"CthulhuSPRL.be","03/11/2015 17:34:17","50","OSINT Dyre Malware Campaigners Innovate with Distribution Techniques by ProofPoint"
"CIRCL","19/09/2016 15:48:50","51","OSINT - Malicious Macros Add Sandbox Evasion Techniques to Distribute New Dridex"
"CIRCL","30/04/2018 15:22:15","52","OSINT - On the Economic Significance of Ransomware Campaigns: A Bitcoin Transactions Perspective"
"CIRCL","31/10/2017 17:09:47","53","Suspicious domains extrapolated from fake Microsoft scammer domain"
"CIRCL","26/10/2018 14:58:57","54","OSINT - New Backup Cryptomix Ransomware Variant Actively Infecting Users"
"CIRCL","16/09/2016 08:25:55","55","Malspam 2016-09-15 (.js in .zip) - campagin: ""Booking confirmation"""
"CIRCL","01/10/2018 14:47:22","56","OSINT - Matrix Ransomware Spreads to Other PCs Using Malicious Shortcuts"
"CIRCL","17/03/2016 16:47:21","57","Malspam (2016-03-17) - Dridex (122), Locky"
"Synovus Financial","03/07/2018 14:39:23","58","Clipboard CryptoCoin Hijacker"
"CIRCL","25/08/2017 12:50:52","59","OSINT - WAP-billing Trojan-Clickers on rise"
"CthulhuSPRL.be","22/02/2017 11:05:19","60","OSINT APT Volatile Cedar APT yara rules by Florian Roth"
"CIRCL","24/03/2016 17:25:02","61","OSINT - Petya Ransomware"
"CIRCL","29/01/2019 15:03:55","62","2019-01-28: APT28 XTunnel Backdoor"
"CthulhuSPRL.be","18/08/2016 15:06:16","63","OSINT Bad News Bears - Panda Banker Starts Looking More Like a Grizzly by ProofPoint"
"CIRCL","05/12/2017 04:00:30","64","OSINT - Gaffe Reveals Full List of Targets in Spear Phishing Attack Using Cobalt Strike Against Financial Institutions"
"CIRCL","19/09/2018 06:25:32","65","OSINT - Iron Cybercrime Group Under The Scope"
"CIRCL","17/03/2017 15:08:57","66","Star Trek Themed Kirk Ransomware Brings us Monero and a Spock Decryptor!"
"CIRCL","28/06/2016 07:34:24","67","OSINT - Retefe banking Trojan targets UK banking customers"
"CIRCL","17/06/2018 13:46:47","68","Malware Analysis Report (AR18-165A) MAR-10135536-12 – North Korean Trojan: TYPEFRAME"
"CIRCL","12/04/2016 08:02:01","69","OSINT - New Locky Variant Implements Evasion Techniques"
"CIRCL","09/11/2017 22:14:53","70","M2M -  Locky 2017-11-07 : Affid=3, offline, "".asasin"" : ""Invoice #123456789,"" - ""987654321_11_07_2017_12_34_56.doc"""
"CIRCL","03/08/2018 08:05:35","71","OSINT - Attacks on industrial enterprises using RMS and TeamViewer"
"CIRCL","21/10/2017 13:06:50","72","OSINT - JadeRAT mobile surveillanceware spikes in espionage activity"
